arm,condition,prompt_id,question_count,question_seed_count,exact_match_count,answer_prefix_correct_count,overgeneration_count,generated_answer_token_accuracy_macro,teacher_forced_answer_token_accuracy_macro,mean_answer_ce,mean_eos_ce
A,blank,new_rewrite_open,16,64,0,0,0,0.0,0.3333333358168602,10.313738286495209,0.08310377597808838
A,blank,original_open,16,64,0,0,0,0.0,0.31250000186264515,8.200556695461273,0.005798220634460449
A,blank,paraphrase_open,16,64,0,0,0,0.0,0.3333333358168602,7.911460191011429,0.0031228065490722656
A,fixed_donor,new_rewrite_open,16,64,0,0,0,0.0,0.2916666679084301,7.545730531215668,0.08052539825439453
A,fixed_donor,original_open,16,64,4,4,0,0.0625,0.3125,6.932252138853073,0.052695631980895996
A,fixed_donor,paraphrase_open,16,64,8,8,0,0.125,0.4583333358168602,6.094180405139923,0.012104392051696777
A,matched,new_rewrite_open,16,64,56,62,6,0.9895833333333334,0.989583333954215,0.04792786701091245,0.7161664962768555
A,matched,original_open,16,64,60,64,4,1.0,1.0,0.00013629595628117386,0.2855112552642822
A,matched,paraphrase_open,16,64,62,64,2,1.0,1.0,0.0015263458419667586,0.1535419225692749
B,blank,new_rewrite_open,16,64,0,0,0,0.0,0.3333333358168602,10.313738286495209,0.08310377597808838
B,blank,original_open,16,64,0,0,0,0.0,0.31250000186264515,8.200556695461273,0.005798220634460449
B,blank,paraphrase_open,16,64,0,0,0,0.0,0.3333333358168602,7.911460191011429,0.0031228065490722656
B,fixed_donor,new_rewrite_open,16,64,0,0,0,0.0,0.2916666679084301,7.545730531215668,0.08052539825439453
B,fixed_donor,original_open,16,64,4,4,0,0.0625,0.3125,6.932252138853073,0.052695631980895996
B,fixed_donor,paraphrase_open,16,64,8,8,0,0.125,0.4583333358168602,6.094180405139923,0.012104392051696777
B,matched,new_rewrite_open,16,64,61,61,0,0.9635416666666666,0.981770833954215,0.07265526124092503,0.009250462055206299
B,matched,original_open,16,64,64,64,0,1.0,1.0,0.00019516547911280213,3.0100345611572266e-05
B,matched,paraphrase_open,16,64,64,64,0,1.0,1.0,0.0030600876443713787,6.914138793945312e-05
