optimizer_step,phase,loss_mean,loss_rolling_9,qa_loss_mean,identity_normalized_mean,gradient_norm_before_clip
1,set_from_blank_warmup,16.39201521873474,16.0234051347,16.39201521873474,,11.929769515991211
2,set_from_blank_warmup,16.532970190048218,16.0195232133,16.532970190048218,,4.626278877258301
3,set_from_blank_warmup,15.726001620292664,15.2496287227,15.726001620292664,,12.554343223571777
4,set_from_blank_warmup,11.713543713092804,15.2193150818,11.713543713092804,,4.73455810546875
5,set_from_blank_warmup,19.75249493122101,15.4242558148,19.75249493122101,,8.059247970581055
6,set_from_blank_warmup,16.000113606452942,15.0620280703,16.000113606452942,,9.614882469177246
7,set_from_blank_warmup,10.630261778831482,15.3195763230,10.630261778831482,,4.734318256378174
8,set_from_blank_warmup,15.007119596004486,16.3011226323,15.007119596004486,,6.8972930908203125
9,set_from_blank_warmup,17.063781678676605,17.8608297507,17.063781678676605,,5.406949996948242
10,set_from_blank_warmup,13.131965517997742,18.5160632663,13.131965517997742,,6.752462387084961
11,set_from_blank_warmup,18.85090446472168,18.6539914608,18.85090446472168,,7.6786932945251465
12,set_from_blank_warmup,24.55991840362549,19.1913449897,24.55991840362549,,3.4024288654327393
13,set_from_blank_warmup,25.75090777873993,19.6246294247,25.75090777873993,,8.128589630126953
14,set_from_blank_warmup,25.649596571922302,19.4317419264,25.649596571922302,,9.352807998657227
15,set_from_blank_warmup,17.241467356681824,19.9403046237,17.241467356681824,,10.147624015808105
16,set_from_blank_warmup,15.466443538665771,19.6625238525,15.466443538665771,,12.357381820678711
17,set_from_blank_warmup,18.90667951107025,18.9915952749,18.90667951107025,,6.618303298950195
18,set_from_blank_warmup,15.327794194221497,18.2604706619,15.327794194221497,,5.818671703338623
19,set_from_blank_warmup,17.70902979373932,17.4992913538,17.70902979373932,,8.725117683410645
20,set_from_blank_warmup,16.35087752342224,17.3968112866,16.35087752342224,,6.831254959106445
21,set_from_blank_warmup,18.521561205387115,16.5864442190,18.521561205387115,,4.759982585906982
22,set_from_blank_warmup,19.170786261558533,16.6962089803,19.170786261558533,,7.838085174560547
23,set_from_blank_warmup,18.798982799053192,16.4841721190,18.798982799053192,,14.198966979980469
24,set_from_blank_warmup,16.319146752357483,15.6611942715,16.319146752357483,,8.931129455566406
25,set_from_blank_warmup,8.173139929771423,14.7932399379,8.173139929771423,,8.039498329162598
26,set_from_blank_warmup,19.894562363624573,14.0491086311,19.894562363624573,,4.643950462341309
27,set_from_blank_warmup,13.419462442398071,13.3247988820,13.419462442398071,,9.264200210571289
28,set_from_blank_warmup,10.302229166030884,13.0587650869,10.302229166030884,,18.01787567138672
29,set_from_blank_warmup,8.539288520812988,11.8421423501,8.539288520812988,,21.924463272094727
30,set_from_blank_warmup,11.824379444122314,12.2453918788,11.824379444122314,,8.845723152160645
31,set_from_blank_warmup,12.651998519897461,10.6010023852,12.651998519897461,,6.675746440887451
32,set_from_blank_warmup,16.404678642749786,10.2925616999,16.404678642749786,,4.628329753875732
33,balanced_transition,5.369542121887207,9.7970407042,7.767829895019531,1.3723958333333333,1.5651756525039673
34,balanced_transition,11.802385687828064,10.2185524338,11.559221625328064,1.9453125,6.316527366638184
35,balanced_transition,5.095056921243668,9.8783308930,5.551716838564191,1.8984375,1.1825486421585083
36,balanced_transition,10.64349627494812,9.8103428682,16.32100028991699,1.1809895833333333,3.8018105030059814
37,balanced_transition,5.842540204524994,9.1765978651,9.544455409049988,2.140625,4.250845432281494
38,balanced_transition,12.332894086837769,9.8801814400,12.332894086837769,,5.175637722015381
39,balanced_transition,8.762385576963425,9.5638556166,11.099847435951233,1.75,0.47174254059791565
40,balanced_transition,12.040106296539307,9.4823070318,11.667059421539307,1.4921875,2.279381036758423
41,balanced_transition,10.700973615050316,9.2284475416,14.017313778400421,0.751953125,4.668612957000732
42,balanced_transition,11.701794296503067,9.9841682100,15.080256978670755,1.56640625,10.954601287841797
43,balanced_transition,8.955453276634216,9.4485783925,10.10701356615339,0.89453125,14.247912406921387
44,balanced_transition,4.361119657754898,8.8668732411,6.238728952407837,1.2317708333333333,3.4395930767059326
45,balanced_transition,8.358760863542557,8.3892910182,8.215694457292557,0.572265625,7.3929524421691895
46,balanced_transition,12.644026219844818,7.7937512779,14.199757644108363,0.876953125,13.480233192443848
47,balanced_transition,7.5125857293605804,7.3998603771,8.434026547840663,1.0625,5.619151592254639
48,balanced_transition,3.5270392149686813,7.2995204329,4.82920024394989,1.3567708333333333,4.716405391693115
49,balanced_transition,7.741866290569305,8.1573679480,9.593321720759073,1.4583333333333333,2.695563793182373
50,balanced_transition,5.341115951538086,7.7862108217,5.204397201538086,1.09375,8.643013000488281
51,balanced_transition,8.156776189804077,7.0479019615,7.902625799179077,1.0166015625,2.0441980361938477
52,balanced_transition,8.052393779158592,7.7936759227,7.801417216658592,1.00390625,1.2701066732406616
53,balanced_transition,12.08174729347229,8.6607602288,13.34398351396833,1.623046875,20.238880157470703
54,balanced_transition,5.018346726894379,8.0903275063,5.3513248307364325,1.34375,3.901939868927002
55,balanced_transition,5.9992464780807495,8.4107910544,6.797687939235142,0.41015625,15.59859848022461
56,balanced_transition,14.224551379680634,8.4887965272,21.956352519989014,1.3382161458333333,13.06525707244873
57,balanced_transition,11.330797970294952,9.8675904175,12.669209957122803,0.98095703125,2.4323019981384277
58,balanced_transition,2.6079717874526978,9.0705533193,3.166748841603597,0.931640625,1.9140511751174927
59,balanced_transition,8.2252878844738,9.3582555552,9.101221867970057,2.09375,15.774497032165527
60,balanced_transition,8.858825445175171,9.6540353729,11.05102507273356,1.521484375,6.819652080535889
61,balanced_transition,20.461538791656494,8.5380545424,20.461538791656494,,3.6757991313934326
62,balanced_transition,4.908413410186768,8.1452565657,5.992467880249023,0.828125,1.4055198431015015
63,balanced_transition,7.607666850090027,8.9308741623,8.378628185817174,1.10546875,10.481369018554688
64,balanced_transition,8.661264836788177,8.5121166872,9.562650884900775,1.17578125,2.8357417583465576
65,balanced_transition,4.1807239055633545,8.5695766773,6.076658248901367,1.0208333333333333,6.029036998748779
66,balanced_transition,7.795616179704666,6.9139393535,8.894348178591047,0.1044921875,1.6694852113723755
67,balanced_transition,9.678530156612396,6.9915061775,12.423587083816528,1.443359375,9.548148155212402
68,balanced_transition,4.456470608711243,7.1332311547,5.339747269948323,1.806640625,4.01262903213501
69,balanced_transition,9.375965356826782,6.7529024200,12.065089225769043,1.30859375,2.277379274368286
70,balanced_transition,5.56080287694931,7.6072157903,6.169377395084926,0.650390625,8.131732940673828
71,balanced_transition,5.606514826416969,7.8568687720,6.048070515905108,2.515625,5.619997501373291
72,balanced_transition,8.883191645145416,7.7461145156,11.445818026860556,0.796875,22.765737533569336
73,balanced_transition,5.238306224346161,8.0715873970,7.823868083953857,0.9290364583333334,17.4694766998291
74,balanced_transition,11.869544237852097,7.8401053846,13.391086271830968,1.21875,5.528404235839844
75,balanced_transition,10.042493015527725,8.3120487895,13.001969854036966,1.1640625,2.5656135082244873
76,balanced_transition,8.68174184858799,8.3019012494,11.35299954811732,0.66796875,11.009810447692871
77,balanced_transition,7.3857265412807465,7.9216198242,7.2651210725307465,0.96484375,5.5893707275390625
78,balanced_transition,7.292627245187759,8.3956658724,11.450430154800415,0.3629557291666667,2.0913772583007812
79,balanced_transition,9.808293521404266,7.3996958153,11.174601078033447,0.244140625,23.084970474243164
80,balanced_transition,5.515186965465546,7.7326413708,6.772853374481201,1.1614583333333333,1.1302274465560913
81,balanced_transition,5.460658818483353,7.9292979836,5.599011863980975,2.24609375,6.249342918395996
82,balanced_transition,9.504720658063889,7.9235895077,12.185981710751852,1.4609375,8.768600463867188
83,balanced_transition,2.9058137238025665,8.4964829584,3.0564210414886475,0.92578125,2.84831166267395
84,balanced_transition,13.039003014564514,8.4519773523,14.568570409502302,1.166015625,6.900391578674316
85,balanced_transition,10.451651364564896,8.4123320348,12.170398434003195,3.5302734375,7.947380065917969
86,balanced_transition,7.334350258111954,8.5447447995,8.220284223556519,1.1328125,5.877811908721924
87,balanced_transition,12.4486683011055,8.2850686709,16.05558117230733,1.6279296875,3.9829251766204834
88,balanced_transition,9.407743066549301,8.5675688866,12.171261588732401,1.1171875,5.9763054847717285
89,balanced_transition,5.158379107713699,7.8802568614,6.556875268618266,0.962890625,1.962101697921753
90,balanced_transition,6.652373701334,7.7685312231,8.646524310112,0.669921875,4.675405979156494
91,balanced_transition,7.167635500431061,8.0962006450,10.999466800689698,0.78125,2.3479220867156982
92,balanced_transition,5.448315665125847,8.2256378912,6.061467903000968,1.15625,0.8154038786888123
93,balanced_transition,6.853194788098335,7.8642805136,7.430994936398098,1.404296875,11.851553916931152
